Direction;StartTime;StartPrice;EndTime;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation
BUY;08.12.2023 16:00;1.07358;14.12.2023 19:15;1.1005;269;0.0642;0.3395;2.8881;1.6866
BUY;29.02.2024 19:30;1.07972;08.03.2024 15:30;1.0972;175;0.041;0.5809;-98.8636;0.7509
SELL;21.03.2024 10:00;1.09395;02.04.2024 09:30;1.0725;214;0.0375;0.0988;-107.767;0.4784
SELL;30.09.2024 11:45;1.12057;23.10.2024 14:45;1.07631;443;0.0442;0.2209;-453.75;0.5546
SELL;05.11.2024 20:15;1.09354;06.11.2024 08:30;1.07128;223;0.1532;0.855;-116.5049;0.9527
SELL;06.12.2024 15:30;1.06169;13.12.2024 09:15;1.04563;161;0.0672;0.1262;-7.3333;0.4872
SELL;30.12.2024 14:00;1.04573;02.01.2025 18:30;1.02458;212;0.073;0.9704;-98.1308;1.0175
SELL;06.01.2025 15:15;1.04356;13.01.2025 11:15;1.01868;249;0.0702;0.5262;-31.0526;0.4997
BUY;13.01.2025 11:15;1.01868;15.01.2025 15:45;1.03444;158;0.0755;0.5909;36.5462;0.4651
BUY;16.01.2025 14:30;1.02645;20.01.2025 22:00;1.04293;165;0.0823;0.4919;-106.25;1.251
BUY;10.02.2025 00:45;1.02902;14.02.2025 16:30;1.05093;219;0.0647;0.4664;-62.2222;0.9254
BUY;06.03.2025 20:30;1.07658;11.03.2025 21:00;1.09439;178;0.0878;0.2607;-143.8356;0.847
BUY;08.04.2025 17:30;1.08953;09.04.2025 16:15;1.10804;185;0.1471;0.6638;-92.7083;0.3661
BUY;16.05.2025 19:00;1.11369;21.05.2025 13:15;1.13597;223;0.0722;0.4322;-147.7778;0.83
BUY;06.06.2025 16:15;1.13767;12.06.2025 15:30;1.16277;251;0.0662;0.4878;-120.1754;1.4738
BUY;23.06.2025 12:15;1.14563;01.07.2025 13:00;1.18215;365;0.0724;0.466;-334.5238;0.6204
SELL;08.07.2025 10:45;1.17598;16.07.2025 17:30;1.15688;191;0.0544;0.4367;-189.3939;0.8376
SELL;24.07.2025 17:00;1.17873;01.08.2025 15:15;1.13959;391;0.069;0.2709;-83.5681;1.3176
BUY;01.08.2025 15:15;1.13959;01.08.2025 23:45;1.15952;199;0.1779;0.6332;49.1049;0.2646
